ct_name,abrangencia,city,state
CT 01 - CENTRO,Aeroporto;Bairro de Fátima;Benfica;Cais do Porto;Caju;Castelo;Catumbi;Centro;Cidade Nova;Estácio;Mangueira;Paquetá;Praça Mauá;Rio Comprido;Santa Teresa;Santo Cristo;São Cristovão;Saúde;Triagem;Vasco da Gama;Gamboa,Rio de Janeiro,RJ
CT 02 - ZONA SUL,Glória;Catete;Flamengo;Botafogo;Copacabana;Laranjeiras;Humaitá;Cosme Velho;Leme;Praia Vermelha;Ipanema;Urca,Rio de Janeiro,RJ
CT 03 - VILA ISABEL,Aldeia Campista;Alto da Boa Vista;Andaraí;Grajaú;Maracanã;Praça da Bandeira;Tijuca;Vila Isabel,Rio de Janeiro,RJ
CT 04 - MEIER,Água Santa;Rocha;Sampaio;Engenho Novo;Engenho de Dentro;Encantado;Lins de Vasconcellos;Méier;Cachambi;São Francisco Xavier;Riachuelo;Pilares;Piedade;Abolição;Todos os Santos,Rio de Janeiro,RJ
CT 05 - RAMOS,Brás de Pina;Cordovil;Jardim América;Manguinhos (Avenida dos Democráticos);Olaria;Parada de Lucas;Penha;Penha Circular;Ramos;Vigário Geral,Rio de Janeiro,RJ
CT 06 - MADUREIRA,Bairro Araújo;Bento Ribeiro;Campinho;Cascadura;Cavalcante;Colégio;Engenheiro Leal;Irajá;Honório Gurgel;Madureira;Magno;Marechal Hermes;Oswaldo Cruz;Quintino Bocaiúva;Rocha Miranda;Turiaçu;Vaz Lobo;Vicente de Carvalho;Vila da Penha;Vila Cosmos;Vista Alegre,Rio de Janeiro,RJ
CT 07 - JACAREPAGUÁ,Anil;Cidade de Deus;Curicica;Gardênia Azul;Jacarepaguá,Rio de Janeiro,RJ
CT 08 - BANGU,Bangu;Vila Kennedy;Senador Câmara;Gericinó,Rio de Janeiro,RJ
CT 09 - CAMPO GRANDE,Campo Grande;Cosmos;Inhoaíba;Mendanha;Monteiro;Rio da Prata;Santíssimo;Senador Augusto Vasconcelos,Rio de Janeiro,RJ
CT 10 - SANTA CRUZ,Paciência;Santa Cruz;Sepetiba;Nova Sepetiba,Rio de Janeiro,RJ
CT 11- BONSUCESSO,Bonsucesso;Cidade Universitária;Complexo da Maré;Manguinhos (Leopoldo Bulhões),Rio de Janeiro,RJ
CT 12 - COELHO NETO,Acari;Coelho Neto;Costa Barros;Guadalupe;Barros Filho;Anchieta;Parque Anchieta;Mariópolis;Parque Columbia;Pavuna;Ricardo de Albuquerque,Rio de Janeiro,RJ
CT 13 - SÃO CONRADO,Gávea;Leblon;Lagoa;Jardim Botânico;Rocinha;São Conrado;Vidigal,Rio de Janeiro,RJ
CT 14 - INHAÚMA,Complexo do Alemão;Jacaré;Jacarezinho;Maria da Graça;Del Castilho;Engenho da Rainha;Tomás Coelho;Vieira Fazenda;Higienópolis;Inhaúma,Rio de Janeiro,RJ
CT 15 - GUARATIBA,Guaratiba;Morro da Pedra;Pedra de Guaratiba;Estrada de Guaratiba;Praia do Aterro;Ilha de Guaratiba;Barra de Guaratiba,Rio de Janeiro,RJ
CT 16 - BARRA,Recreio dos Bandeirantes;Piabas;Joá;Itanhangá;Vargem Grande;Vargem Pequena;Camorim;Barra da Tijuca,Rio de Janeiro,RJ
CT 17 - REALENGO,Campos dos Afonsos;Deodoro;Jardim Sulacap;Magalhães Bastos;Padre Miguel;Realengo;Vila Militar,Rio de Janeiro,RJ
CT 18 - TAQUARA,Freguesia;Pechincha;Tanque;Taquara;Praça Seca;Vila Valqueire,Rio de Janeiro,RJ
CT 19 - ILHA DO GOVERNADOR,Bancários;Cacuia;Cocotá;Freguesia;Galeão;Jardim Carioca;Jardim Guanabara;Moneró;Pitangueiras;Portuguesa;Praia da Bandeira;Ribeira;Tauá;Zumbi,Rio de Janeiro,RJ